ids,sentiment,sarcasm,vulgar,abuse,target
image_tamil_0296.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0464.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0642.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0085.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0381.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0144.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0770.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0549.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0584.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0441.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0241.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0762.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0066.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0391.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0178.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0003.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0129.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0425.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0012.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0598.jpg,positive,yes,not vulgar,non-abusive,none
image_tamil_0493.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0011.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0111.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0802.jpg,neutral,yes,not vulgar,non-abusive,political
image_tamil_0934.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0637.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0244.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0828.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0505.jpg,neutral,yes,not vulgar,non-abusive,political
image_tamil_0106.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0708.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0101.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0976.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0046.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0588.jpg,neutral,yes,not vulgar,non-abusive,political
image_tamil_0546.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0326.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0724.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0196.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0917.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0043.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0520.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0032.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0915.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0253.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0993.jpg,positive,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0105.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0133.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0352.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0298.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0486.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0414.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0445.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0863.png,negative,yes,not vulgar,non-abusive,individual
image_tamil_0378.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0356.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0925.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0609.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0891.jpg,neutral,yes,not vulgar,non-abusive,political
image_tamil_0739.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0152.jpg,positive,yes,not vulgar,non-abusive,individual
image_tamil_0953.jpg,positive,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0880.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0216.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0037.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0553.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0470.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0405.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0952.jpg,positive,yes,not vulgar,non-abusive,individual
image_tamil_0951.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0440.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0509.jpg,positive,no,not vulgar,non-abusive,political
image_tamil_0518.png,negative,yes,not vulgar,non-abusive,gender
image_tamil_0961.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0322.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0413.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0318.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0182.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0088.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0392.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0650.jpg,negative,no,not vulgar,non-abusive,social sub-groups
image_tamil_0118.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0099.jpg,neutral,no,not vulgar,non-abusive,none
image_tamil_0717.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0475.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0201.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0639.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0807.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0117.jpg,neutral,no,vulgar,non-abusive,others
image_tamil_0091.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0999.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0316.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0980.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0660.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0556.jpg,positive,yes,not vulgar,non-abusive,gender
image_tamil_0439.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0428.jpg,positive,yes,not vulgar,non-abusive,individual
image_tamil_0909.png,negative,yes,not vulgar,non-abusive,individual
image_tamil_0965.jpg,positive,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0137.jpg,neutral,no,not vulgar,non-abusive,political
image_tamil_0667.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0487.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0401.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0143.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0799.jpg,negative,no,not vulgar,non-abusive,social sub-groups
image_tamil_0583.jpg,neutral,no,not vulgar,non-abusive,political
image_tamil_0148.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0605.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0971.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0646.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0447.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0024.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0354.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0131.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0202.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0641.png,negative,yes,not vulgar,non-abusive,individual
image_tamil_0822.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0899.jpg,neutral,no,not vulgar,non-abusive,gender
image_tamil_0255.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0450.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0818.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0034.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0344.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0042.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0229.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0517.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0690.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0561.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0074.jpg,neutral,no,not vulgar,non-abusive,none
image_tamil_0858.jpg,neutral,no,not vulgar,non-abusive,social sub-groups
image_tamil_0386.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0794.jpg,negative,no,vulgar,abusive,individual
image_tamil_0644.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0970.jpg,positive,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0430.jpg,positive,yes,not vulgar,non-abusive,individual
image_tamil_0904.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0551.jpg,positive,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0438.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0887.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0950.jpg,positive,yes,not vulgar,non-abusive,gender
image_tamil_0522.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0297.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0721.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0916.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0215.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0141.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0431.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0791.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0779.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0924.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0108.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0324.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0559.jpg,positive,yes,not vulgar,non-abusive,individual
image_tamil_0388.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0603.jpg,negative,yes,not vulgar,non-abusive,none
image_tamil_0086.jpg,neutral,yes,not vulgar,non-abusive,none
image_tamil_0181.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0982.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0928.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0930.png,negative,yes,not vulgar,non-abusive,gender
image_tamil_0292.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0567.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0958.png,positive,yes,not vulgar,non-abusive,individual
image_tamil_0625.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0224.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0114.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0443.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0290.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0362.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0571.jpg,negative,yes,not vulgar,abusive,others
image_tamil_0784.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0868.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0110.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0749.jpg,negative,yes,not vulgar,non-abusive,gender
image_tamil_0563.png,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0191.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0077.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0387.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0787.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0263.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0426.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0945.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0286.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0608.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0820.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0153.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0798.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0312.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0753.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0535.png,negative,yes,not vulgar,non-abusive,others
image_tamil_0507.jpg,neutral,yes,not vulgar,non-abusive,gender
image_tamil_0803.jpg,neutral,yes,not vulgar,non-abusive,political
image_tamil_0162.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0722.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0062.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0159.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0790.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0844.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0725.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0308.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0075.jpg,neutral,no,not vulgar,non-abusive,none
image_tamil_0419.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0748.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0619.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0669.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0647.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0007.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0103.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0994.png,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0126.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0017.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0113.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0228.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0728.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0221.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0068.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0555.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0323.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0947.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0346.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0848.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0080.jpg,positive,yes,not vulgar,non-abusive,none
image_tamil_0027.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0026.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0941.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0242.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0991.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0738.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0104.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0220.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0122.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0931.png,negative,yes,vulgar,abusive,individual
image_tamil_0040.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0902.jpg,negative,yes,not vulgar,abusive,individual
image_tamil_0404.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0186.jpg,positive,yes,not vulgar,non-abusive,individual
image_tamil_0199.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0695.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0687.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0752.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0519.jpg,neutral,no,not vulgar,non-abusive,social sub-groups
image_tamil_0237.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0732.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0164.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0528.png,neutral,no,not vulgar,non-abusive,individual
image_tamil_0842.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0313.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0775.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0491.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0735.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0173.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0768.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0812.jpg,negative,yes,not vulgar,non-abusive,others
image_tamil_0903.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0640.png,negative,yes,not vulgar,non-abusive,individual
image_tamil_0023.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0532.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0720.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0389.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0500.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0651.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0684.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0693.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0235.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0542.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0630.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0731.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0871.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0044.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0754.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0309.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0649.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0893.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0082.jpg,negative,no,not vulgar,abusive,social sub-groups
image_tamil_0678.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0320.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0029.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0582.png,negative,yes,not vulgar,non-abusive,others
image_tamil_0888.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0602.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0665.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0502.jpg,neutral,yes,not vulgar,non-abusive,none
image_tamil_0339.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0483.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0116.jpg,positive,yes,not vulgar,non-abusive,individual
image_tamil_0054.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0001.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0954.jpg,positive,no,not vulgar,non-abusive,social sub-groups
image_tamil_0610.png,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0260.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0179.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0967.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0747.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0935.jpg,negative,yes,vulgar,non-abusive,gender
image_tamil_0171.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0361.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0921.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0689.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0766.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0168.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0997.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0706.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0355.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0767.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0857.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0866.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0614.jpg,neutral,yes,not vulgar,non-abusive,political
image_tamil_0329.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0911.jpg,negative,yes,not vulgar,non-abusive,others
image_tamil_0454.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0284.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0083.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0550.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0025.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0366.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0458.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0184.jpg,negative,no,not vulgar,abusive,individual
image_tamil_0084.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0067.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0030.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0095.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0541.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0674.jpg,neutral,no,not vulgar,non-abusive,social sub-groups
image_tamil_0943.png,negative,yes,not vulgar,non-abusive,individual
image_tamil_0972.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0962.jpg,positive,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0049.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0076.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0623.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0599.jpg,positive,no,not vulgar,non-abusive,none
image_tamil_0946.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0960.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0488.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0180.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0262.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0894.jpg,negative,yes,not vulgar,abusive,individual
image_tamil_0826.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0843.png,neutral,yes,not vulgar,non-abusive,others
image_tamil_0409.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0671.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0303.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0016.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0624.jpg,neutral,yes,not vulgar,non-abusive,political
image_tamil_0463.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0786.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0769.png,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0266.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0331.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0280.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0804.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0900.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0692.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0119.jpg,positive,yes,not vulgar,non-abusive,others
image_tamil_0234.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0906.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0031.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0545.jpg,positive,no,not vulgar,non-abusive,none
